placeId,name,category,categories,type,address,postcode,district,corridor,city,phone,website,instagram,facebook,email,googleMapsUri,lat,lng,rating,reviews,businessStatus
"ChIJ2x0_RgoFdkgRiSZOlWNMR54","Fashion In Store","Fashion & Apparel","Fashion & Apparel","Clothing store","Flat 2 Tantallon Rd, London","SW12 8DG","SW12","Balham","London","+44 7535 390456","","","","","https://maps.google.com/?cid=11405168571929470601&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.44577030000001","-0.1557778","","","OPERATIONAL"
"ChIJZ4oPfN8HdkgRh980zX1R0Ew","Goldthread Domas Vintage London","Fashion & Apparel","Fashion & Apparel","Clothing store","11 Fernlea Rd, London","SW12 9RT","SW12","Balham","London","","https://www.goldthreaddomas.com/","","","","https://maps.google.com/?cid=5535013542793895815&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4429744","-0.148956","5","4","OPERATIONAL"
"ChIJP093fsIFdkgRg-Vln8palEw","J Rogers & Sons","Fashion & Apparel","Fashion & Apparel","Services","Inside underground station, 1 Balham Station Rd, London","SW12 9SG","SW12","Balham","London","+44 20 8772 1853","http://www.jrogers.co.uk/","","","","https://maps.google.com/?cid=5518135269739849091&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4433599","-0.1521006","4.9","150","OPERATIONAL"
"ChIJeY_rp88FdkgRq0LeFkIVp1g","JoJo Maman Bébé - Balham","Fashion & Apparel","Fashion & Apparel","Child care agency","39 Bedford Hill, London","SW12 9EY","SW12","Balham","London","+44 20 8675 1906","http://www.jojomamanbebe.co.uk/","","","","https://maps.google.com/?cid=6388097970044027563&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4440494","-0.1502696","3.7","15","OPERATIONAL"
"ChIJfQx9bc8FdkgRQDUtqxtjMC8","Lark Balham","Fashion & Apparel","Fashion & Apparel","Gift shop","Coal Brook Mansions, 24 Bedford Hill, London","SW12 9RG","SW12","Balham","London","+44 20 8143 6293","http://www.larklondon.com/","","","","https://maps.google.com/?cid=3400326689151857984&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.444081399999995","-0.1505992","4.9","93","OPERATIONAL"
"ChIJE01bHrYFdkgRfq0jjmp_FLM","Mathews Shoe Repairers - Precision Key Cutting & Watch Repair","Fashion & Apparel","Fashion & Apparel","Locksmith","35 Balham Hill, London","SW12 9DX","SW12","Balham","London","+44 20 8675 7643","","","","","https://maps.google.com/?cid=12904078927951277438&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.451955399999996","-0.147513","4.8","927","OPERATIONAL"
"ChIJj81HHwAFdkgRmM_8qGkJQnU","MOI London","Fashion & Apparel","Fashion & Apparel","Shoe store","Unit 3A Hillgate Pl, London","SW12 9ER","SW12","Balham","London","","https://www.moilondon.com/","","","","https://maps.google.com/?cid=8449326200311828376&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.450363599999996","-0.148523","5","3","OPERATIONAL"
"ChIJ741IufIFdkgR1Ei_NgGpFaQ","Not Just Things","Fashion & Apparel","Fashion & Apparel","Market","366 Cavendish Rd, London","SW12 0PP","SW12","Balham","London","+44 7719 586136","https://www.notjustthings.co.uk/","","","","https://maps.google.com/?cid=11823542219409672404&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.440699599999995","-0.1425369","5","27","OPERATIONAL"
"ChIJBQkuPM8FdkgR4M5PYOF-YX0","Oliver Bonas","Fashion & Apparel","Fashion & Apparel","Clothing store","186-188 Balham High Rd, London","SW12 9BP","SW12","Balham","London","+44 7721 475554","https://www.oliverbonas.com/balham?utm_source=google&utm_medium=organic&utm_campaign=LPM-London-101-103_Balham_High_Road","","","","https://maps.google.com/?cid=9034641833930510048&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.443984","-0.15276299999999998","4.3","56","OPERATIONAL"
"ChIJWzCUK84FdkgRXWihqycu6DY","Perfect Alterations","Fashion & Apparel","Fashion & Apparel","Services","98 Bedford Hill, London","SW12 9HR","SW12","Balham","London","+44 20 8675 5499","http://perfectalterations.co.uk/","","","","https://maps.google.com/?cid=3956463020563064925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.441601","-0.14913479999999998","4.8","140","OPERATIONAL"
"ChIJmZjFA2YEdkgR40ZykoYmCtw","African Queen Fabrics","Fashion & Apparel","Fashion & Apparel","Home goods store","Brixton Village, 29-31 Granville Arcade Atlantic Road, London","SW9 8PR","SW9","Brixton","London","+44 20 7737 1999","https://www.africanqueenfabrics.com/","","","","https://maps.google.com/?cid=15855527797535688419&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.4626467","-0.1120548","4.7","15","OPERATIONAL"
"ChIJ8do2GqgFdkgRmmVioEP0Ifs","Afrodesigns.co.uk","Fashion & Apparel","Fashion & Apparel","Home goods store","29-31 Granville Arcade, Brixton Village Inside Market Hall, Atlantic Rd, London","SW9 8PR","SW9","Brixton","London","+44 20 7737 1999","https://afrodesigns.co.uk/","","","","https://maps.google.com/?cid=18096013349042152858&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.462493099999996","-0.11181350000000001","3.7","3","OPERATIONAL"
"ChIJrWsBteAFdkgRxuh_4c5b4Dg","Artisan Stories - Ethically Handcrafted Leather Goods and Home Decor","Fashion & Apparel","Fashion & Apparel","Store","36-37, Granville Arcade, Brixton village, Coldharbour Ln, London","SW9 8PR","SW9","Brixton","London","+44 20 3915 3879","http://artisanstories.co.uk/","","","","https://maps.google.com/?cid=4098376605011798214&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA","51.462493099999996","-0.11181350000000001","4.7","38","OPERATIONAL"
