cluster_id,cluster,cluster_diameter_km,mixed_enough,track,email_variant,name,street,address,postcode,phone,website,has_website,rating,reviews,placeId,googleMapsUri,lat,lng,why,email
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,books,commercial,Sound Vinyl,Church Rd,"42 Church Rd, London",SE19 2EZ,+44 7984 272851,https://www.instagram.com/sound.vinyl/,yes,4.9,69,ChIJvb1jly4BdkgR1c3ckPZCtwQ,https://maps.google.com/?cid=339813923649539541&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.418841699999994,-0.0798044,record / vinyl shop,
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,wine,commercial,Urban Cellar,Church Rd,"48 Church Rd, London",SE19 2ET,+44 20 3417 8900,https://urbancellar.co.uk/,yes,4.9,72,ChIJlTtoqUARdkgRFZWvG3BZUtc,https://maps.google.com/?cid=15515562004280481045&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.418658,-0.07990019999999999,independent wine / bottle shop,
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,books,commercial,Bookseller Crow On The Hill,Westow St,"50 Westow St, London",SE19 3AF,+44 20 8771 8831,http://www.booksellercrow.co.uk/,yes,4.7,136,ChIJs_lkhU8BdkgRf-DOG4mUR_w,https://maps.google.com/?cid=18178661737502269567&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.418423,-0.082605,bookshop,
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,wine,commercial,The Sourcing Table,Westow Hill,"67 Westow Hill, London",SE19 1TS,+44 20 3551 1005,https://thesourcingtable.com/,yes,4.9,26,ChIJK6gFMEUBdkgRhEH4-iLXSoE,https://maps.google.com/?cid=9316495324408725892&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4198367,-0.0797567,independent wine / bottle shop,
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,fashion,commercial,D Solos,Church Rd,"23 Church Rd, London",SE19 2TE,+44 20 8653 7585,http://www.dsoloclothing.co.uk/,yes,4.9,41,ChIJ4anSDkUBdkgR4Ct0OF52BXE,https://maps.google.com/?cid=8144045648215550944&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.419179,-0.0790776,independent clothing,
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,fashion,commercial,Pearl rose Jewellers,Church Rd,"76 Church Rd, London",SE19 2EZ,+44 7904 563807,http://pearlrosejewellers.co.uk/,yes,4.8,35,ChIJ7UYvnEUBdkgR8B5h-k4zdvw,https://maps.google.com/?cid=18191784159110831856&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.41758900000001,-0.0809474,independent jewellery,
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,fashion,commercial,Mary’s Vintage,Haynes Ln,"Haynes Ln, London",SE19 3AN,,http://marysvintage.co.uk/,yes,,,ChIJi-Uyo08BdkgR5qGExc50boQ,https://maps.google.com/?cid=9542693091870548454&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.418506799999996,-0.0836412,vintage / boutique,
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,specialty_food,commercial,Blackbird Bakery Crystal Palace,Westow St,"59 Westow St, London",SE19 3RW,+44 20 8768 0357,http://www.blackbirdbakerylondon.co.uk/,yes,4.3,304,ChIJ5ekShkUBdkgRlGhaGzQkgYc,https://maps.google.com/?cid=9764125273331755156&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4178244,-0.08181179999999999,specialty food (Bakery),
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,flowers,commercial,Crystal Palace Flowers,Church Rd,"The Alma, 95 Church Rd, London",SE19 2TA,+44 7930 348028,https://www.crystalpalaceflowers.co.uk/,yes,4.4,35,ChIJb2wkuukBdkgRYJuhCjroe5U,https://maps.google.com/?cid=10771458269770783584&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4172875,-0.080912,florist,
crystal_palace_triangle,Crystal Palace — Church Rd / Westow Hill / Westow St,0.33,yes,fashion,commercial,Tine Bladbjerg,Westow Hill,"A L'Etage, 4 Westow Hill, London",SE19 1RX,+44 20 8761 1868,http://tinebladbjerg.com/,yes,5,2,ChIJq6q7708BdkgR6LHWiWyfUMo,https://maps.google.com/?cid=14578327282316128744&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,51.4196615,-0.082758,independent jewellery,
